uniprot_description,count
Pisatin demethylase,38
ER lumen protein-retaining receptor,38
Aldehyde dehydrogenase family protein,38
Disease resistance protein RPM1,38
Protein containing ALS2cr12 (ALS2CR12) signature,38
60S acidic ribosomal protein P0,38
CN hydrolase domain-containing protein,38
40S ribosomal protein S6,38
Proliferating cell nuclear antigen,38
Post-GPI attachment to proteins factor 3,38
Vacuolar protein sorting-associated protein 51 homolog,38
Putative NAC domain transcription factor superfamily protein,38
Glycosyltransferases,38
Enoyl-CoA hydratase/isomerase family protein,38
MIF4G domain-containing protein,38
"Serpentine Receptor, class J",38
RanBP2-type domain-containing protein,38
Amidohydrolase family protein,38
CW domain-containing protein,38
Obg-like ATPase 1,38
ETS domain-containing protein,38
Coronin,38
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",38
Acyl-CoA synthetase,38
PB1 domain-containing protein,38
Thymidylate synthase,38
CUE domain-containing protein,38
CAP10 domain-containing protein,38
Probable conserved transmembrane protein,38
"Serpentine Receptor, class U",38
DUF676 domain-containing protein,37
Putative acetyltransferase,37
Insulin/EGF-Receptor L Domain protein,37
Taste receptor type 2,37
Trimethylguanosine synthase,37
Bet_v_1 domain-containing protein,37
3Beta_HSD domain-containing protein,37
DNA mismatch repair protein,37
"Beta galactofuranosyl glycosyltransferase, putative",37
Acid phosphatase,37
Heavy metal transport/detoxification superfamily protein,37
Eukaryotic translation initiation factor 3 subunit I,37
Clathrin light chain,37
Signal recognition particle receptor subunit beta,37
Cation-transporting ATPase,37
Ankyrin repeat protein,37
Multifunctional fusion protein,37
Tyrosine-protein phosphatase domain-containing protein,37
Alba domain-containing protein,37
Zinc finger (C3HC4-type RING finger) family protein,37
SUN domain-containing protein,37
60S ribosomal protein L27,37
1-phosphatidylinositol-3-phosphate 5-kinase,37
Coatomer subunit delta,37
"Ubiquitin-conjugating enzyme E2, putative",37
Coatomer subunit zeta,37
DUF5641 domain-containing protein,37
Plant thionin family protein,37
Pre-mRNA-processing factor 19,37
"Serpentine Receptor, class E (Epsilon)",37
Aminomethyltransferase,37
ATP synthase subunit a,37
Orotate phosphoribosyltransferase,37
Thioredoxin reductase,37
Phosphatidylinositol 4-phosphate 5-kinase,36
Asparagine--tRNA ligase,36
IS1 ORF2,36
Rieske domain-containing protein,36
4a-hydroxytetrahydrobiopterin dehydratase,36
O-acyltransferase,36
Aspartokinase,36
NRF domain-containing protein,36
CRIB domain-containing protein,36
Signal recognition particle 54 kDa protein,36
NADPH--cytochrome P450 reductase,36
Eukaryotic translation initiation factor 2A,36
NAB domain-containing protein,36
Ypt/Rab-GAP domain of gyp1p superfamily protein,36
Anion exchange protein,36
T-complex protein 1 subunit gamma,36
Site-specific DNA-methyltransferase (adenine-specific),36
Peptidase_S9 domain-containing protein,36
ATP synthase subunit alpha,36
Alpha-amylase,36
Tryptophan synthase,36
"6,7-dimethyl-8-ribityllumazine synthase",36
Signal peptidase I,36
Calreticulin,36
3-oxoacyl-[acyl-carrier-protein] reductase,36
Glycylpeptide N-tetradecanoyltransferase,36
Ferrochelatase,36
Probable short-chain dehydrogenase,36
B30.2/SPRY domain-containing protein,36
V-type proton ATPase subunit C,36
Acyl transferase domain protein,36
Putative pentatricopeptide repeat-containing protein,36
MFS transporter,36
Phosphomevalonate kinase,36
GST N-terminal domain-containing protein,36
Cysteinyl-tRNA synthetase,36
Phosphomannomutase,36
TYR_PHOSPHATASE_2 domain-containing protein,35
60S ribosomal protein L23,35
"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",35
Major Facilitator Superfamily protein,35
ER membrane protein complex subunit 3,35
Pyruvate dehydrogenase E1 component subunit beta,35
ER membrane protein complex subunit 2,35
Ion_trans domain-containing protein,35
Pyruvate dehydrogenase E1 component subunit alpha,35
Protein-S-isoprenylcysteine O-methyltransferase,35
T-complex protein 1 subunit delta,35
ER membrane protein complex subunit 4,35
Flap endonuclease 1,35
GYF domain-containing protein,35
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",35
V-type proton ATPase subunit G,35
Mevalonate kinase,35
Putative outer membrane lipoprotein,35
GPI inositol-deacylase,35
Amino acid permease,35
1-acyl-sn-glycerol-3-phosphate acyltransferase,35
Acetyl-coenzyme A synthetase,35
Inosine triphosphate pyrophosphatase,35
Clathrin heavy chain,35
MI domain-containing protein,35
60S ribosomal export protein NMD3,35
Short-chain dehydrogenase/reductase SDR,35
Histone-lysine N-methyltransferase,35
ATPase_AAA_core domain-containing protein,35
AP complex subunit beta,35
Enoyl-CoA hydratase,35
Eukaryotic translation initiation factor 6,35
Uroporphyrinogen decarboxylase,35
MAM domain-containing protein,35
Clp R domain-containing protein,35
Ribonuclease H,35
ECA1 gametogenesis related family protein,35
Phosphoenolpyruvate carboxylase,34
Small nuclear ribonucleoprotein E,34
Bac_luciferase domain-containing protein,34
Vacuolar protein sorting-associated protein 29,34
Homeodomain-like superfamily protein,34
Eukaryotic translation initiation factor 5A,34
"Elongation factor 1-gamma (EF-1-gamma), putative",34
D-xylose reductase,34
Methylenetetrahydrofolate reductase,34
Septin,34
Eukaryotic translation initiation factor 3 subunit C,34
H15 domain-containing protein,34
Aminotran_5 domain-containing protein,34
1-deoxy-D-xylulose-5-phosphate synthase,34
Alkyl transferase,34
Gap junction protein,34
Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein,34
Small nuclear ribonucleoprotein Sm D2,34
Sidoreflexin,34
PALP domain-containing protein,34
Delta-aminolevulinic acid dehydratase,34
Receptor protein serine/threonine kinase,34
Elongator complex protein 3,34
60S ribosomal protein L6,34
40S ribosomal protein S4,34
5'-3' exoribonuclease,34
TWiK family of potassium channels,34
Hypoxanthine phosphoribosyltransferase,34
Elongin-C,34
Squalene monooxygenase,34
18S rRNA aminocarboxypropyltransferase,34
E3 ubiquitin-protein ligase listerin,34
"Acyl-CoA dehydrogenase, N-terminal domain protein",34
Nucleolar protein 16,34
GTD-binding domain-containing protein,34
Methionine aminopeptidase 2,34
Pyridoxal kinase,34
ARID domain-containing protein,34
DNA polymerase epsilon catalytic subunit,34
DNA_MISMATCH_REPAIR_2 domain-containing protein,34
Monooxygenase,34
Carbohydrate-binding X8 domain superfamily protein,34
Chorismate synthase,34
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",34
"Serpentine Receptor, class D (Delta)",34
Helicase C-terminal domain-containing protein,34
tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,34
RanBD1 domain-containing protein,34
SURF1-like protein,34
RWD domain-containing protein,34
Exonuclease 1,34
Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,34
Adenine DNA glycosylase,34
Calcium-dependent lipid-binding (CaLB domain) family protein,34
Asparaginase,34
AA_permease domain-containing protein,34
Putative enzyme,34
TGF_BETA_2 domain-containing protein,34
SP-RING-type domain-containing protein,34
Anaphase-promoting complex subunit 1,33
Dihydroorotase,33
V-type proton ATPase subunit,33
F-actin-capping protein subunit beta,33
Mce related family protein,33
DNA primase large subunit,33
KRAB domain-containing protein,33
ATP phosphoribosyltransferase,33
ER membrane protein complex subunit 1,33
BAR domain-containing protein,33
Transport permease protein,33
Glyco_hydro_18 domain-containing protein,33
SpoU_methylase domain-containing protein,33
Golgi SNAP receptor complex member 1,33
Paired domain-containing protein,33
Hypothetical_protein,33
Putative permease,33
Folylpolyglutamate synthase,33
Biotin carboxylase,33
Cir_N domain-containing protein,33
Glyco_18 domain-containing protein,33
Rep_fac-A_C domain-containing protein,33
Remorin_C domain-containing protein,33
Histone domain-containing protein,33
tRNA (guanine(37)-N1)-methyltransferase,33
ER membrane protein complex subunit 6,33
40S ribosomal protein S21,33
40S ribosomal protein S30,33
DUF4220 domain-containing protein,33
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase,33
CTP_transf_like domain-containing protein,33
Putative methyltransferase,33
Rab3 GTPase-activating protein catalytic subunit,33
Phosphoglycerate mutase,33
"4-hydroxybenzoate polyprenyltransferase, mitochondrial",33
Deoxyhypusine hydroxylase,33
ZT_dimer domain-containing protein,33
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B,33
Delta-like protein,33
S-formylglutathione hydrolase,33
NTF2 domain-containing protein,33
Moesin/ezrin/radixin homolog 1,33
PAP-associated domain-containing protein,33
BRO1 domain-containing protein,33
6-phosphogluconolactonase,32
Matrin-type domain-containing protein,32
Autophagy-related protein 9,32
Signal recognition particle subunit SRP72,32
Pre-mRNA-splicing factor 18,32
Condensin complex subunit 1,32
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",32
Origin recognition complex subunit 1,32
Small nuclear ribonucleoprotein Sm D3,32
26S proteasome regulatory subunit RPN11,32
Peroxin-14,32
Putative LysR family transcriptional regulator,32
Transcription initiation factor TFIID subunit 8,32
Mitogen-activated protein kinase kinase kinase,32
Transposase_23 domain-containing protein,32
Amino acid permease family protein,32
Threonine synthase,32
Queuosine salvage protein,32
dTMP kinase,32
NEDD8-activating enzyme E1 catalytic subunit,32
V-type proton ATPase subunit F,32
Eukaryotic translation initiation factor 5B,32
Fumarylacetoacetase,32
Peptide-methionine (R)-S-oxide reductase,32
Component of oligomeric Golgi complex 4,32
MOSC domain-containing protein,32
Zinc-binding dehydrogenase family protein,32
Pre-mRNA-splicing factor SLU7,32
MYND-type zinc finger protein samB,32
CX domain-containing protein,32
HTH La-type RNA-binding domain-containing protein,32
RNA cytidine acetyltransferase,32
Cleavage and polyadenylation specificity factor subunit 2,32
DNA-directed RNA polymerase III subunit RPC9,32
D-3-phosphoglycerate dehydrogenase,32
Esterase,32
"Chaperone DnaJ protein, putative",32
Pescadillo homolog,32
2-dehydropantoate 2-reductase,32
DNA polymerase alpha subunit B,32
Protein kinase family protein,32
Putative HC-toxin efflux carrier TOXA,32
Carn_acyltransf domain-containing protein,32
GPI ethanolamine phosphate transferase 1,32
Dolichol-phosphate mannosyltransferase subunit 1,32
Kynureninase,32
Vacuolar protein-sorting-associated protein 36,32
Ribosome production factor 2 homolog,32
Nuclear cap-binding protein subunit 2,32
Beta-N-acetylhexosaminidase,32
Histone acetyltransferase type B catalytic subunit,32
GPI mannosyltransferase 1,32
40S ribosomal protein S18,32
Conserved oligomeric Golgi complex subunit 1,32
Ribosomal RNA-processing protein 8,32
MMS19 nucleotide excision repair protein,32
DNA-directed RNA polymerase III subunit RPC3,32
PINc domain-containing protein,32
Cytoplasmic tRNA 2-thiolation protein 1,31
Dual-specificity kinase,31
Reverse transcriptase,31
GPI mannosyltransferase 2,31
V-type proton ATPase subunit H,31
Sec14p-like phosphatidylinositol transfer family protein,31
GPI ethanolamine phosphate transferase 3,31
DNA replication licensing factor MCM7,31
Glucose-1-phosphate adenylyltransferase,31
"Cytochrome b-c1 complex subunit Rieske, mitochondrial",31
Sema domain-containing protein,31
Response regulator,31
3-hydroxy-3-methylglutaryl coenzyme A reductase,31
Non-reducing end alpha-L-arabinofuranosidase,31
GPN-loop GTPase 2,31
Stress-response A/B barrel domain-containing protein,31
Exportin-T,31
Vacuolar protein sorting-associated protein 35,31
Glutathione reductase,31
Decapping nuclease,31
Glycosyltransferase family 61 protein,31
Tyrosinase,31
"Expression site-associated gene (ESAG) protein, putative",31
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",31
Actin-related protein 2/3 complex subunit 5,31
HD domain-containing protein,31
40S ribosomal protein S20,31
Ribosome biogenesis protein NSA2 homolog,31
ATP-dependent (S)-NAD(P)H-hydrate dehydratase,31
tRNA dimethylallyltransferase,31
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,31
Ribose-5-phosphate isomerase,31
VHS domain-containing protein,31
Eukaryotic translation initiation factor 3 subunit G,31
Vacuolar proton pump subunit B,31
WD40 domain containing protein,31
Chorismate mutase,31
Eukaryotic translation initiation factor 3 subunit A,31
PseudoU_synth_2 domain-containing protein,31
MATH (Meprin-associated Traf homology) domain containing,31
40S ribosomal protein SA,31
GrpE protein homolog,31
F-actin-capping protein subunit alpha,31
Regulator of Vps4 activity in the MVB pathway protein,31
IPT/TIG domain-containing protein,31
N-acetylglucosamine-6-phosphate deacetylase,31
Conserved oligomeric Golgi complex subunit 6,31
5-formyltetrahydrofolate cyclo-ligase,31
Rap-GAP domain-containing protein,31
Conserved oligomeric Golgi complex subunit 5,31
Stevor,31
Auxin efflux carrier component,31
2-isopropylmalate synthase,31
Cytochrome c oxidase subunit 1,31
DNA replication complex GINS protein SLD5,31
Cell division control protein,31
MTS domain-containing protein,31
40S ribosomal protein S2,30
60S ribosomal protein L38,30
Coatomer subunit epsilon,30
Coatomer subunit gamma,30
Homoserine kinase,30
Prolyl endopeptidase,30
Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase,30
ABC transporter family protein,30
CUB domain-containing protein,30
"1,3-beta-glucan synthase",30
Fibroblast growth factor,30
Splicing factor YJU2,30
PORR domain-containing protein,30
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,30
PSP1 C-terminal domain-containing protein,30
S-adenosyl-L-methionine-dependent methyltransferase,30
MerR family transcriptional regulator,30
General transcription and DNA repair factor IIH helicase subunit XPD,30
Eukaryotic translation initiation factor 3 subunit L,30
Aspartate-semialdehyde dehydrogenase,30
Brix domain-containing protein,30
Coatomer subunit beta,30
Transcription initiation factor IIE subunit beta,30
Trypsin domain containing protein,30
Coatomer subunit beta',30
tRNA wybutosine-synthesizing protein 4,30
GlcNAc-1-P transferase,30
CYCLIN domain-containing protein,30
DLH domain-containing protein,30
DM domain-containing protein,30
Eukaryotic translation initiation factor 3 subunit B,30
"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",30
"Zinc finger, C2H2 type family protein",30
FBD domain-containing protein,30
